group	subgroup	cong	location	vacant	founded	building1st	whenorganized	year1n	memb1	year2n	memb2	year3n	memb3	year4n	memb4	year5n	memb5	year6n	memb6	year7n	memb7	year8n	memb8	year9	gps1	gps2	casenum	organizationdate	memborganize	parentchurch	year1	year2	year3	year4	year5	year6	year7	year8
Menno	MC	Grace Menn. Fellow.	Rockingham		1997	1998		2000	45	2007	124	2013	181	2018	172										38.543189	-78.76904	44				2000/45	2007/124	2013/181	2018/172				
Menno	MC	Hebron	Rockingham		1870	1914		1916	15	1925	24	1950	50	1975	87	1997	69	2018	66						38.647708	-78.915479	45				1916/15	1925/24	1950/50	1975/87	1997/69	2018/66		
Menno	MC	Iglesia Enciende una Luz	Rockingham		2012	2013		2013	70	2015	77	2018	0												38.468455	-78.831868	46				2013/70	2015/77	2018/0					
Menno	MC	Lindale	Rockingham		1898	1898		1898	14	1905	25	1925	55	1950	152	1954	178	1975	209	1997	285	2013	441	2018/305	38.535271	-78.849253	47				1898/14	1905/25	1925/55	1950/152	1954/178	1975/209	1997/285	2013/441
Menno	Ind. Old Order	Lloyd Wenger O.O.	Rockingham		2006		99	2015	100																38.420158	-78.986571	48				2015/100							
Menno	SE Menn.	McGaheysville	Rockingham		1980			2004	43	2008	25	2019	33												38.382523	-78.713052	49				2004/43	2008/25	2019/33					
Menno	Mtn. Val. Menn.	Morning View	Rockingham		1923	1929		1950	23	1960	41	1975	83	2000	77	2012	85								38.586753	-78.907542	50				1950/23	1960/41	1975/83	2000/77	2012/85			
Menno	MC	Mt. Clinton	Rockingham		1874	1874		1905	42	1925	108	1950	104	1975	105	1997	105	2013	119	2018	85				38.468103	-78.866398	51				1905/42	1925/108	1950/104	1975/105	1997/105	2013/119	2018/85	
Menno	Weaverland	Mt. Pleasant	Rockingham		1986			2004	40																38.405848	-78.923822	52				2004/40							
Menno	MC	Mt. Vernon	Rockingham		1954	1954		1956	26	1975	46	1997	105	2013	78	2018	68								36.264751	-78.78661	53				1956/26	1975/46	1997/105	2013/78	2018/68			
Menno	Orig. Old Order	Original Old Order Menn.	Rockingham		1902	1903		1902	69	1957	125	2010	375	2015	312										38.432664	-78.961819	54				1902/69	1957/125	2010/375	2015/312				
Menno	SE Menn.	Peake	Rockingham		1910	1923	35	1925	56	1950	44	1975	43	1997	61	2012	80	2019	105						38.493979	-78.995769	55				1925/56	1950/44	1975/43	1997/61	2012/80	2019/105		
Menno	SE Menn.	Pike	Rockingham		1825	1825		1905	95	1925	82	1950	128	1975	127	1997	115	2019	76						38.395604	-78.917361	56				1905/95	1925/82	1950/128	1975/127	1997/115	2019/76		
Menno	Nat. Fell. & Pilg. Min.	Pleasant Valley Menn. Fell.	Rockingham		1977			2004	42	2014	90	2015	135												38.366866	-78.880667	57				2004/42	2014/90	2015/135					
Menno	SE Menn.	Rawley Springs	Rockingham		1930	1936		1950	47	1975	63	1997	72	2019	53										38.496004	-79.041151	58				1950/47	1975/63	1997/72	2019/53				
Menno	Ind. Menn.	Timberville	Rockingham		1985			2004	45	2008	41	2015	26	2018	26										38.631282	-78.779911	59				2004/45	2008/41	2015/26	2018/26				
Menno	MC	Trissels	Rockingham		1822	1824		1905	45	1925	65	1950	97	1975	166	1997	10	2018	107						38.602374	-78.848347	60				1905/45	1925/65	1950/97	1975/166	1997110	2018/107		
Menno	MC	Valley View	Rockingham		1880	1922		1916	60	1925	88	1950	85	1975	74	1997	71	2013	66	2018	53				38.756802	-79.019369	61				1916/60	1925/88	1950/85	1975/74	1997/71	2013/66	2018/53	
Menno	MC	Weavers	Rockingham		1827	1827		1883	300	1905	229	1925	196	1950	289	1958	302	1975	318	1997	253	2007	315	2018/274	38.455927	-78.904547	62				1883/300	1905/229	1925/196	1950/289	1958/302	1975/318	1997/253	2007/315
Menno	MC	Zion	Rockingham		1885	1885		1905	35	1925	65	1950	138	1965	152	1975	166	1997	262	2013	194	2018	151		38.573104	-78.79842	63				1905/35	1925/65	1950/138	1965/152	1975/166	1997/262	2013/194	2018/151
Menno	MC	Zion Hill	Rockingham		1925	1927		1927	16	1950	36	1975	97	1997	8	2013	57	2018	54						38.557416	-78.938833	64				1927/16	1950/36	1975/97	1997108	2013/57	2018/54		
Menno	MC	Crest Hill Community	Hardy		1900	1924		1953	28	1975	20	1990	23	2000	10	2018	47								39.08211	-78.591993	65				1953/28	1975/20	1990/23	2000/10	2018/47			
Menno	MC	Mathias	Hardy		1973	1973		1954	98	1975	98	1997	62	2007	37	2018	24								39.207025	-78.429831	66				1954/98	1975/98	1997/62	2007/37	2018/24			
Menno	Mtn. Val. Menn.	Salem	Hardy		1868	1927		1931	61	1950	81	1975	85	1990	54	2000	36	2010	20						39.003611	-78.828062	67				1931/61	1950/81	1975/85	1990/54	2000/36	2010/20		
Menno	SE Menn.	North Fork	Pendleton		1932	1948		1950	49	1975	48	1997	44	2009	35	2019	29								39.065608	-78.9581	68				1950/49	1975/48	1997/44	2009/35	2019/29			
